PoL_Timestamp,Currency.Code,Order.number,Quantity,Amount,Outstanding.Quantity,Outstanding.Amount,Qty_.to.Receive,Quantity.Received,ItemNo,k_ExpectedReceiptDate,k_RequestedReceiptDate,k_ConfirmedDeliveryDate,k_ETCDate,k_B_L.Date,k_OrderDate,k_PostingDate,k_DateReceived,PoH_Timestamp
2.02301E+13,USD,4543009078,92,1462,0,0,0,92,160261,20230117,20230115,20221215,2022,20230120,20220824,20230116,20230116,2.02301E+13
2.02301E+13,USD,4525340965,122,1831,0,0,0,122,160261,20230124,20230126,20221215,2022,20230123,20220824,20230125,20230125,2.02301E+13
2.02301E+13,USD,4530852125,153,2289,0,0,0,153,160261,20230124,20230126,20221215,2022,20230123,20220824,20230125,20230125,2.02301E+13
2.02301E+13,USD,4534137860,214,3204,0,0,0,214,160261,20230124,20230126,20221215,2022,20230123,20220824,20230125,20230125,2.02301E+13
2.02301E+13,USD,4529393365,489,7284,0,0,0,489,160261,20230126,20230215,20221215,2022,20230125,20220824,20230125,20230125,2.02301E+13
2.02301E+13,USD,4536019911,1955,37213,0,0,0,1955,535516,20230118,20230115,20221130,2022,20230120,20220824,20230117,20230117,2.02301E+13
2.02301E+13,USD,4511963648,519,9833,0,0,0,519,535516,20230118,20230115,20221130,2022,20230120,20220824,20230117,20230117,2.02301E+13
2.02302E+13,USD,4512127086,519,9833,0,0,0,519,262569,20230221,20230115,20221231,2022,20230220,20220824,20230220,20230220,2.02302E+13
2.02302E+13,USD,4515600494,458,8676,0,0,0,458,262569,20230221,20230115,20221231,2022,20230220,20220824,20230220,20230220,2.02302E+13
2.02302E+13,USD,4513385843,275,5206,0,0,0,275,951517,20230206,20230115,20221130,2022,20230203,20220824,20230203,20230203,2.02302E+13
2.02301E+13,USD,4540936125,61,1157,61,1157,61,0,951517,20230221,20230201,20221215,2022,NULL,20220824,NULL,NULL,2.02301E+13
2.02301E+13,USD,4533725565,183,3470,183,3470,183,0,951517,20230221,20230201,20221215,2022,NULL,20220824,NULL,NULL,2.02301E+13
2.02301E+13,USD,4543232541,31,578,0,0,0,31,951517,20230118,20230115,20221130,2022,20230120,20220824,20230117,20230117,2.02301E+13
2.02301E+13,USD,4537092251,153,2892,0,0,0,153,951517,20230118,20230115,20221130,2022,20230120,20220824,20230117,20230117,2.02301E+13
2.02302E+13,USD,4511934556,214,4049,0,0,0,214,951517,20230206,20230115,20221130,2022,20230203,20220824,20230203,20230203,2.02302E+13
2.02302E+13,USD,4540689738,92,3681,0,0,0,92,474528,20230216,20230115,20221215,2022,20230215,20220824,20230215,20230215,2.02302E+13
2.02302E+13,USD,4535153206,61,2446,0,0,0,61,809996,20230216,20230115,20221215,2022,20230215,20220824,20230215,20230215,2.02302E+13
2.02302E+13,USD,4522636616,153,6371,0,0,0,153,755097,20230213,20230127,20221215,2022,20230210,20220824,20230210,20230210,2.02302E+13
2.02302E+13,USD,4538625591,61,2539,0,0,0,61,721690,20230216,20230215,20221231,2022,20230215,20220922,20230215,20230215,2.02302E+13
2.02303E+13,USD,4541609364,31,1270,0,0,0,31,721690,20230315,20230215,20221231,2022,20230314,20220922,20230310,20230310,2.02303E+13
2.02303E+13,USD,4510129556,458,19043,0,0,0,458,721690,20230315,20230215,20221231,2022,20230314,20220922,20230310,20230310,2.02303E+13
2.02302E+13,USD,4515346676,183,7617,0,0,0,183,721690,20230216,20230215,20221231,2022,20230215,20220922,20230215,20230215,2.02302E+13
2.02302E+13,USD,4587337860,122,5078,0,0,0,122,721690,20230216,20230215,20221231,2022,20230215,20220922,20230215,20230215,2.02302E+13
2.02303E+13,USD,4525359527,61,1870,0,0,0,61,908782,20230224,20230215,20221231,2022,20230223,20220922,20230223,20230223,2.02303E+13
2.02302E+13,USD,4527409366,92,2792,0,0,0,92,908782,20230202,20230115,20221130,2022,20230201,20220824,20230201,20230201,2.02302E+13
2.02309E+13,USD,4593506602,61,1853,0,0,0,61,908782,20230911,20231015,20230831,2023,20230908,20230428,20230908,20230908,2.02309E+13
